,Susceptible,Exposed,Infectious,Quarantined,Recovered,Deaths,Vaccinated,Population
163.0,313122161.0,7528391,4336065.0,49990.0,2952390.0,211003,0.0,328200000
164.0,313013070.0,7578381,4337986.0,58754.0,2999895.0,211914,0.0,328200000
165.0,312900235.0,7637135,4371859.0,56621.0,3021252.0,212898,0.0,328200000
166.0,312787696.0,7693756,4410452.0,55148.0,3039089.0,213859,0.0,328200000
167.0,312687145.0,7748904,4440579.0,45882.0,3062983.0,214507,0.0,328200000
168.0,312600100.0,7794786,4472701.0,42384.0,3075077.0,214952,0.0,328200000
169.0,312505980.0,7837170,4482386.0,52398.0,3106728.0,215338,0.0,328200000
170.0,312393897.0,7889568,4516125.0,59677.0,3124593.0,216140,0.0,328200000
171.0,312269307.0,7949245,4543433.0,65094.0,3155794.0,217127,0.0,328200000
172.0,312136400.0,8014339,4584620.0,69271.0,3177397.0,217973,0.0,328200000
173.0,312010457.0,8083610,4632751.0,56752.0,3197539.0,218891,0.0,328200000
174.0,311903386.0,8140362,4666525.0,49524.0,3220573.0,219630,0.0,328200000
175.0,311786975.0,8189886,4700782.0,68140.0,3234138.0,220079,0.0,328200000
176.0,311666377.0,8258026,4720259.0,62188.0,3272603.0,220547,0.0,328200000
177.0,311543417.0,8320214,4757096.0,62654.0,3295148.0,221471,0.0,328200000
178.0,311404189.0,8382868,4790501.0,76458.0,3323354.0,222630,0.0,328200000
179.0,311249812.0,8459326,4831614.0,82691.0,3353056.0,223501,0.0,328200000
180.0,311083087.0,8542017,4892057.0,82955.0,3375427.0,224457,0.0,328200000
181.0,310936722.0,8624972,4943632.0,62628.0,3406656.0,225390,0.0,328200000
182.0,310808179.0,8687600,4987859.0,67669.0,3422878.0,225815,0.0,328200000
183.0,310663408.0,8755269,5016589.0,77953.0,3460455.0,226326,0.0,328200000
184.0,310509929.0,8833222,5063075.0,78794.0,3487666.0,227314,0.0,328200000
185.0,310339357.0,8912016,5110588.0,91554.0,3518140.0,228345,0.0,328200000
186.0,310151304.0,9003570,5161942.0,99493.0,3554336.0,229355,0.0,328200000
187.0,309962144.0,9103063,5236117.0,89821.0,3578452.0,230403,0.0,328200000
188.0,309767954.0,9192884,5290309.0,105045.0,3612478.0,231330,0.0,328200000
189.0,309608325.0,9297929,5345401.0,85950.0,3630579.0,231816,0.0,328200000
190.0,309396652.0,9383879,5384531.0,127606.0,3674981.0,232351,0.0,328200000
191.0,309200588.0,9511485,5444867.0,103986.0,3705130.0,233944,0.0,328200000
192.0,308968247.0,9615471,5508204.0,129456.0,3743527.0,235095,0.0,328200000
193.0,308718126.0,9744927,5590658.0,128281.0,3781751.0,236257,0.0,328200000
194.0,308463832.0,9873208,5686952.0,127702.0,3810791.0,237515,0.0,328200000
195.0,308211203.0,10000910,5773650.0,124156.0,3851465.0,238616,0.0,328200000
196.0,308027127.0,10125066,5849094.0,78046.0,3881491.0,239176,0.0,328200000
197.0,307739002.0,10203112,5943758.0,145330.0,3928845.0,239953,0.0,328200000
198.0,307447430.0,10348442,6054316.0,146525.0,3961873.0,241414,0.0,328200000
199.0,307138309.0,10494967,6161711.0,164934.0,3997175.0,242904,0.0,328200000
200.0,306798044.0,10659901,6266139.0,180389.0,4051256.0,244271,0.0,328200000
201.0,306453513.0,10840290,6397857.0,167724.0,4095146.0,245470,0.0,328200000
202.0,306150813.0,11008014,6509848.0,136065.0,4148444.0,246816,0.0,328200000
203.0,305852201.0,11144079,6607779.0,162888.0,4185463.0,247590,0.0,328200000
204.0,305532332.0,11306967,6703612.0,163863.0,4244811.0,248415,0.0,328200000
205.0,305197322.0,11470830,6815010.0,173066.0,4293640.0,250132,0.0,328200000
206.0,304835600.0,11643896,6926174.0,191473.0,4350789.0,252068,0.0,328200000
207.0,304448952.0,11835369,7052072.0,198791.0,4410709.0,254107,0.0,328200000
208.0,304074082.0,12034160,7198515.0,179249.0,4457930.0,256064,0.0,328200000
209.0,303749659.0,12213409,7302849.0,146705.0,4529700.0,257678,0.0,328200000
210.0,303416714.0,12360114,7463554.0,174397.0,4526513.0,258708,0.0,328200000
211.0,303071852.0,12534511,7524768.0,175464.0,4633600.0,259805,0.0,328200000
212.0,302713364.0,12709975,7634574.0,183490.0,4696664.0,261933,0.0,328200000
213.0,302419628.0,12893465,7674475.0,112280.0,4835956.0,264196,0.0,328200000
214.0,302100635.0,13005745,7748607.0,208230.0,4871203.0,265580,0.0,328200000
215.0,301739415.0,13213975,7876517.0,155516.0,4947446.0,267131,0.0,328200000
216.0,301443451.0,13369491,7955307.0,140199.0,5023063.0,268489,0.0,328200000
217.0,301143718.0,13509690,8051417.0,160620.0,5065030.0,269525,0.0,328200000
218.0,300797426.0,13670310,8126857.0,188217.0,5146319.0,270871,0.0,328200000
219.0,300414839.0,13858527,8224081.0,202555.0,5226581.0,273417,0.0,328200000
220.0,299991144.0,14061082,8325800.0,223610.0,5322128.0,276236,0.0,328200000
221.0,299540085.0,14284692,8459234.0,232785.0,5404018.0,279186,0.0,328200000
222.0,299096583.0,14517477,8618141.0,215546.0,5470389.0,281864,0.0,328200000
223.0,298701606.0,14733023,8724125.0,181011.0,5576026.0,284209,0.0,328200000
224.0,298330845.0,14914034,8850257.0,194861.0,5624444.0,285559,0.0,328200000
225.0,297913847.0,15108895,8951039.0,224490.0,5714557.0,287172,0.0,328200000
226.0,297475371.0,15333385,9091995.0,222535.0,5786915.0,289799,0.0,328200000
227.0,297022399.0,15555920,9207293.0,231516.0,5889896.0,292976,0.0,328200000
228.0,296557747.0,15787436,9333826.0,239976.0,5985047.0,295968,0.0,328200000
229.0,296108481.0,16027412,9412025.0,217385.0,6135314.0,299383,0.0,328200000
230.0,295701079.0,16244797,9517876.0,187804.0,6246605.0,301839,0.0,328200000
231.0,295316171.0,16432601,9655969.0,193712.0,6298082.0,303465,0.0,328200000
232.0,294839479.0,16626313,9819452.0,210104.0,6399531.0,305121,0.0,328200000
233.0,294395714.0,16836417,9922125.0,246644.0,6490879.0,308221,0.0,328200000
234.0,293908568.0,17083061,10059090.0,239678.0,6597661.0,311942,0.0,328200000
235.0,293413973.0,17322739,10214297.0,251935.0,6681651.0,315405,0.0,328200000
236.0,292969378.0,17574674,10389548.0,191894.0,6756160.0,318346,0.0,328200000
237.0,292029049.0,17766568,10456436.0,187746.0,6882996.0,320997,556208.0,328200000
238.0,291582741.0,17954314,10591866.0,199099.0,6935156.0,322707,614117.0,328200000
239.0,291808030.0,18153413,10672031.0,198067.0,7043814.0,324645,0.0,328200000
240.0,290375420.0,18351480,10780450.0,229561.0,7127027.0,328037,1008025.0,328200000
241.0,290961088.0,18581041,10897366.0,194166.0,7234883.0,331456,0.0,328200000
242.0,290671381.0,18775207,10983737.0,97615.0,7337694.0,334366,0.0,328200000
243.0,288394410.0,18872822,11063834.0,226303.0,7362280.0,335766,1944585.0,328200000
244.0,289956871.0,19099125,11177113.0,155634.0,7473612.0,337645,0.0,328200000
245.0,287504764.0,19254759,11269184.0,174651.0,7530424.0,339075,2127143.0,328200000
246.0,289262614.0,19429410,11363447.0,200191.0,7603260.0,341078,0.0,328200000
247.0,285979104.0,19629601,11516356.0,233634.0,7702010.0,344707,2794588.0,328200000
248.0,288354608.0,19863235,11590586.0,235565.0,7807570.0,348436,0.0,328200000
249.0,287973457.0,20098800,11703037.0,153510.0,7919313.0,351883,0.0,328200000
250.0,283286576.0,20252310,11435714.0,300416.0,8345191.0,354037,4225756.0,328200000
251.0,287005995.0,20552726,11984033.0,208741.0,8091965.0,356540,0.0,328200000
252.0,282047910.0,20761467,12149453.0,184299.0,8135630.0,357981,4563260.0,328200000
253.0,281358981.0,20945766,12163940.0,235048.0,8299717.0,360079,4836469.0,328200000
254.0,280404293.0,21180814,12311086.0,255389.0,8377851.0,363770,5306797.0,328200000
255.0,279260398.0,21436203,12462790.0,278065.0,8475427.0,367699,5919418.0,328200000
256.0,277918337.0,21714268,12625712.0,293247.0,8588540.0,371665,6688231.0,328200000
257.0,284060072.0,22007515,12831411.0,262657.0,8662589.0,375756,0.0,328200000
258.0,283573352.0,22270172,12997581.0,213268.0,8766538.0,379089,0.0,328200000
259.0,274098365.0,22483440,13226242.0,214982.0,8808561.0,381088,8987322.0,328200000
260.0,273322516.0,22698422,13316356.0,226954.0,8925430.0,383184,9327138.0,328200000
261.0,282189782.0,22925376,13457251.0,230349.0,9009581.0,387661,0.0,328200000
262.0,272033734.0,23155725,13591788.0,235614.0,9100695.0,391687,9690757.0,328200000
263.0,270649978.0,23391339,13702631.0,242748.0,9221778.0,395660,10595866.0,328200000
264.0,280801118.0,23634087,13880114.0,201639.0,9283484.0,399558,0.0,328200000
265.0,280420491.0,23835726,13999777.0,177793.0,9363227.0,402986,0.0,328200000
266.0,280099063.0,24013519,14133789.0,143391.0,9405384.0,404854,0.0,328200000
267.0,266184412.0,24156910,14195446.0,176738.0,9484323.0,406368,13595803.0,328200000
268.0,265151977.0,24333648,14258037.0,183204.0,9593594.0,409099,14270441.0,328200000
269.0,263990060.0,24516852,14318727.0,193750.0,9713849.0,413505,15053257.0,328200000
270.0,262420369.0,24710602,14455230.0,190677.0,9762343.0,417686,16243093.0,328200000
271.0,260908529.0,24901279,14541700.0,170622.0,9866006.0,421519,17390345.0,328200000
272.0,259493051.0,25071901,14640055.0,131031.0,9936969.0,424862,18502131.0,328200000
273.0,258458276.0,25202932,14729732.0,151969.0,9978054.0,426758,19252279.0,328200000
274.0,257490633.0,25354901,14775918.0,147570.0,10100012.0,428729,19902237.0,328200000
275.0,256405075.0,25502471,14844678.0,153239.0,10173805.0,432762,20687970.0,328200000
276.0,255070842.0,25655710,14894615.0,169260.0,10274251.0,436716,21698606.0,328200000
277.0,253575991.0,25824970,14935045.0,166494.0,10398441.0,440741,22858318.0,328200000
278.0,252061701.0,25991464,15034441.0,142322.0,10461554.0,444353,24064165.0,328200000
279.0,250670574.0,26133786,15090253.0,112019.0,10545102.0,447123,25201143.0,328200000
280.0,249601448.0,26245805,15159350.0,135173.0,10586107.0,448964,26023153.0,328200000
281.0,248934076.0,26380978,15184912.0,115333.0,10692853.0,451012,26440836.0,328200000
282.0,247983964.0,26496311,15237805.0,121611.0,10750867.0,454486,27154956.0,328200000
283.0,246988361.0,26617922,15267269.0,123924.0,10838960.0,458367,27905197.0,328200000
284.0,245727851.0,26741846,15252585.0,134362.0,10971748.0,462111,28909497.0,328200000
285.0,244148890.0,26876208,15323435.0,103987.0,11030782.0,465734,30250964.0,328200000
286.0,242627094.0,26980195,15346343.0,89659.0,11109275.0,468334,31579100.0,328200000
287.0,241641119.0,27069854,15445014.0,90343.0,11143823.0,469701,32340146.0,328200000
288.0,240973639.0,27160197,15404611.0,95620.0,11227412.0,471308,32867213.0,328200000
289.0,239867026.0,27255817,15424168.0,95139.0,11300084.0,474382,33783384.0,328200000
290.0,238726084.0,27350956,15399872.0,105697.0,11415720.0,477707,34723964.0,328200000
291.0,237410929.0,27456653,15426075.0,99609.0,11490993.0,480886,35834855.0,328200000
292.0,236005560.0,27556262,15463009.0,87119.0,11548127.0,483801,37056122.0,328200000
293.0,234622243.0,27643381,15480056.0,65020.0,11611040.0,485990,38292270.0,328200000
294.0,272795341.0,27708401,15512848.0,54194.0,11642098.0,487118,0.0,328200000
295.0,233008221.0,27762595,15484061.0,62724.0,11723779.0,488069,39670551.0,328200000
296.0,232278226.0,27825319,15497906.0,70104.0,11770637.0,489799,40268009.0,328200000
297.0,231385493.0,27895423,15508242.0,69556.0,11828030.0,492207,41021049.0,328200000
298.0,230280403.0,27964979,15501513.0,79595.0,11901429.0,494680,41977401.0,328200000
299.0,229266680.0,28044574,15573901.0,71514.0,11936405.0,497331,42809595.0,328200000
300.0,228319668.0,28116088,15575909.0,57051.0,12004063.0,499129,43628092.0,328200000
301.0,227696960.0,28173139,15609255.0,56223.0,12025963.0,500342,44138118.0,328200000
302.0,227161924.0,28229362,15612635.0,72255.0,12077214.0,501641,44544969.0,328200000
303.0,226323695.0,28301617,17271439.0,74700.0,10487496.0,503910,45237143.0,328200000
304.0,225334507.0,28376317,17275446.0,77495.0,10554761.0,507082,46074392.0,328200000
305.0,224070532.0,28453812,17293349.0,76929.0,10611732.0,509447,47184199.0,328200000
306.0,222678056.0,28530741,17336533.0,64392.0,10643188.0,511554,48435536.0,328200000
307.0,221225919.0,28595133,17346171.0,51238.0,10696300.0,513059,49772180.0,328200000
308.0,220155024.0,28646371,17374706.0,58914.0,10717872.0,514116,50732997.0,328200000
309.0,219016753.0,28705285,17402889.0,57041.0,10746935.0,515650,51755447.0,328200000
310.0,217794336.0,28762326,17424574.0,67194.0,10778397.0,517594,52855579.0,328200000
311.0,216477905.0,28829520,17458827.0,67998.0,10809992.0,520088,54035670.0,328200000
312.0,214859574.0,28897518,17451273.0,66403.0,10855515.0,522020,55547697.0,328200000
