,FIPS,Countyname,ST_Name,Black,Med_HH_Inc,ICU_Capacity,State_Test,Hisp,Population_Density,AVG_VENTILATOR_USAGE,Asian,Poverty,Deaths,Confirmed,Over_65,Population,KMeans_Cluster,Hierarchical_cluster,DBSCAN_cluster,MeanShift_cluster
1397,27169,Winona,Minnesota,0.013647512630762458,83.20337699492329,0.00018867528982620909,0,0.031487809479885116,1.4858581907042599e-05,2.0,0.027902978973187144,0.10827865243915223,49,4337,0.17465042661579422,47701.0,1,0,0,0
1398,27171,Wright,Minnesota,0.016810962978700803,119.168092446638,0.0,0,0.03499406880189798,3.034950085528665e-05,1.3333333333333333,0.01321683397956835,0.06266709158832172,124,14144,0.1448363166374533,112962.0,1,0,0,0
1399,27173,Yellow Medicine,Minnesota,0.0068520757758968156,83.0364906179003,0.0,0,0.046453043127771064,2.533466662107138e-06,0.0,0.006045949214026602,0.0916968964127368,18,1075,0.19931479242241032,9924.0,1,0,0,0
1400,28001,Adams,Mississippi,0.5658997164217582,66.404915596371,0.00013810628659816608,1726829,0.058939159577210624,1.7818792515237675e-05,3.0,0.00602603763856664,0.25428589842742977,82,2442,0.18419695797886051,31032.0,2,2,1,2
1401,28003,Alcorn,Mississippi,0.1266779243824952,93.3564029191899,0.0006869114742837517,1726829,0.0337445261741893,2.2566592738540898e-05,4.0,0.003148344257133862,0.17891181773948886,64,2974,0.1933369586994476,34939.0,2,0,2,4
1402,28005,Amite,Mississippi,0.3929596615802992,75.37765355693091,0.0,1726829,0.0,5.102136642538784e-06,2.0,0.0017374225713854058,0.19164526363499015,40,1198,0.2134763559450068,13238.0,2,2,1,2
1403,28007,Attala,Mississippi,0.4041956589469312,74.9029524633438,0.0,1726829,0.019576279987537647,7.067573616773535e-06,2.0,0.0019212794682729253,0.2227645653754284,73,2130,0.1822619171253505,19258.0,2,2,1,2
1405,28011,Bolivar,Mississippi,0.5528492771705227,66.2230207848096,0.0001821119562311348,1726829,0.018633540372670808,1.0828035419834263e-05,2.0,0.007757194390951749,0.2892674062220293,129,4767,0.12964821394667608,36869.0,2,2,1,2
1406,28013,Calhoun,Mississippi,0.2809601359484529,82.6578824782059,0.0,1726829,0.0618140621680946,6.372379669089086e-06,0.0,0.0024074205197196067,0.17191814770232952,30,1630,0.18855767188274447,14123.0,2,2,1,2
1408,28017,Chickasaw,Mississippi,0.4146341463414634,81.0718484505667,0.0,1726829,0.04578614982578397,9.659651383809957e-06,1.0,0.0017966027874564462,0.2044316202090592,57,2048,0.15755662020905922,18368.0,2,2,1,2
1409,28019,Choctaw,Mississippi,0.2836283185840708,81.57982298529309,0.0,1726829,0.005420353982300885,5.784887075578591e-06,2.0,0.00022123893805309731,0.1872787610619469,16,726,0.1959070796460177,9040.0,2,2,1,2
